pattern,cell_type,condition,mean_activity,median_activity,n_cells
Pattern1,CD4 T cells,ctrl,0.0019453004708278303,0.0001291356238652952,5560
Pattern1,CD4 T cells,stim,0.002461911878181893,0.00012081861132173799,5678
Pattern1,CD14+ Monocytes,ctrl,0.09472000203563896,0.07525446638464928,2932
Pattern1,CD14+ Monocytes,stim,0.06152561122620435,0.04436708986759186,2765
Pattern1,B cells,ctrl,0.001380738408317059,4.8810295993462205e-05,1316
Pattern1,B cells,stim,0.002985679665608443,9.367619350086898e-05,1335
Pattern1,NK cells,ctrl,0.00781765809244245,0.0020554177463054657,855
Pattern1,NK cells,stim,0.009210029946343512,0.0021627626847475767,861
Pattern1,CD8 T cells,ctrl,0.0024195650539603464,0.0001662077847868204,811
Pattern1,CD8 T cells,stim,0.003379448179052668,0.00018735475896392018,810
Pattern1,FCGR3A+ Monocytes,ctrl,0.5011352035145347,0.5163086354732513,520
Pattern1,FCGR3A+ Monocytes,stim,0.5284114896544044,0.5524519681930542,569
Pattern1,Dendritic cells,ctrl,0.053875302888824375,0.03883722238242626,258
Pattern1,Dendritic cells,stim,0.04092337100341534,0.01998847909271717,271
Pattern1,Megakaryocytes,ctrl,0.008727198712850145,0.00011915223876712844,63
Pattern1,Megakaryocytes,stim,0.0018524907685444475,0.00012257321213837713,69
Pattern2,CD4 T cells,ctrl,0.007382142720278956,0.00024877792748156935,5560
Pattern2,CD4 T cells,stim,0.29669935910467793,0.28456103801727295,5678
Pattern2,CD14+ Monocytes,ctrl,0.011970954365643566,8.657816215418279e-05,2932
Pattern2,CD14+ Monocytes,stim,0.1639772438118697,0.1493651270866394,2765
Pattern2,B cells,ctrl,0.00947542761519908,0.00034329605114180595,1316
Pattern2,B cells,stim,0.39793217446557366,0.40566152334213257,1335
Pattern2,NK cells,ctrl,0.016468343361739697,0.0012691686861217022,855
Pattern2,NK cells,stim,0.39906251347200494,0.41270413994789124,861
Pattern2,CD8 T cells,ctrl,0.009427960681798374,0.00025861221365630627,811
Pattern2,CD8 T cells,stim,0.3179774229130931,0.2954280227422714,810
Pattern2,FCGR3A+ Monocytes,ctrl,0.03782789249965599,0.002358312252908945,520
Pattern2,FCGR3A+ Monocytes,stim,0.3847952691223026,0.4030274748802185,569
Pattern2,Dendritic cells,ctrl,0.016098174566516524,0.00012503346079029143,258
Pattern2,Dendritic cells,stim,0.3733306054052966,0.3826959729194641,271
Pattern2,Megakaryocytes,ctrl,0.003417491003873799,0.00017243708134628832,63
Pattern2,Megakaryocytes,stim,0.04942515874286007,0.0007017936441116035,69
Pattern3,CD4 T cells,ctrl,0.24182567173062022,0.12898186594247818,5560
Pattern3,CD4 T cells,stim,0.19268753444401135,0.10713106393814087,5678
Pattern3,CD14+ Monocytes,ctrl,0.34270180497713654,0.35470661520957947,2932
Pattern3,CD14+ Monocytes,stim,0.30524324253118745,0.3114764988422394,2765
Pattern3,B cells,ctrl,0.052040647538315485,0.04137699119746685,1316
Pattern3,B cells,stim,0.028482757219920746,0.0008423278923146427,1335
Pattern3,NK cells,ctrl,0.2523664619328054,0.13374018669128418,855
Pattern3,NK cells,stim,0.23939144614349728,0.15654832124710083,861
Pattern3,CD8 T cells,ctrl,0.4161407899938788,0.5161829590797424,811
Pattern3,CD8 T cells,stim,0.34224750311767577,0.32517626881599426,810
Pattern3,FCGR3A+ Monocytes,ctrl,0.31162851177929046,0.33484335243701935,520
Pattern3,FCGR3A+ Monocytes,stim,0.25134403575585446,0.27723604440689087,569
Pattern3,Dendritic cells,ctrl,0.2676227104912351,0.28614695370197296,258
Pattern3,Dendritic cells,stim,0.16834153644316335,0.16928714513778687,271
Pattern3,Megakaryocytes,ctrl,0.07516942149358949,0.06598333269357681,63
Pattern3,Megakaryocytes,stim,0.07672814812608324,0.06738631427288055,69
Pattern4,CD4 T cells,ctrl,0.005518405014573898,0.00024235502496594563,5560
Pattern4,CD4 T cells,stim,0.0036754724835328387,8.588905257056467e-05,5678
Pattern4,CD14+ Monocytes,ctrl,0.4658019051430963,0.48277759552001953,2932
Pattern4,CD14+ Monocytes,stim,0.15714192935490046,0.14790229499340057,2765
Pattern4,B cells,ctrl,0.00424562474987042,3.810483576671686e-05,1316
Pattern4,B cells,stim,0.0024484820229914153,1.1755324521800503e-05,1335
Pattern4,NK cells,ctrl,0.011499494212918,0.0027035721577703953,855
Pattern4,NK cells,stim,0.007186618351999528,0.0006658693891949952,861
Pattern4,CD8 T cells,ctrl,0.005942697995211281,0.0002965408784803003,811
Pattern4,CD8 T cells,stim,0.0055094521070363665,0.00021763376571470872,810
Pattern4,FCGR3A+ Monocytes,ctrl,0.20917402802820456,0.18620673567056656,520
Pattern4,FCGR3A+ Monocytes,stim,0.022143298253011427,0.0002027625305345282,569
Pattern4,Dendritic cells,ctrl,0.31768883706536144,0.3216117024421692,258
Pattern4,Dendritic cells,stim,0.09471557032542612,0.06941943615674973,271
Pattern4,Megakaryocytes,ctrl,0.009113451405616457,0.00015180268383119255,63
Pattern4,Megakaryocytes,stim,0.001065423092557572,7.689654739806429e-05,69
Pattern5,CD4 T cells,ctrl,0.2374390007869708,0.2443440482020378,5560
Pattern5,CD4 T cells,stim,0.1879033118881281,0.1560349315404892,5678
Pattern5,CD14+ Monocytes,ctrl,0.04916813304056159,0.004867855459451675,2932
Pattern5,CD14+ Monocytes,stim,0.049335907662973466,0.0030721237417310476,2765
Pattern5,B cells,ctrl,0.20591069357806352,0.20005659013986588,1316
Pattern5,B cells,stim,0.14800706268943395,0.14253734052181244,1335
Pattern5,NK cells,ctrl,0.14796493562233548,0.14473450183868408,855
Pattern5,NK cells,stim,0.09987376602905138,0.07388804852962494,861
Pattern5,CD8 T cells,ctrl,0.1314372369862144,0.11844774335622787,811
Pattern5,CD8 T cells,stim,0.09347270004313772,0.06526609510183334,810
Pattern5,FCGR3A+ Monocytes,ctrl,0.07586192966259485,0.049064574763178825,520
Pattern5,FCGR3A+ Monocytes,stim,0.04051690294518252,0.0029686104971915483,569
Pattern5,Dendritic cells,ctrl,0.20229079050874,0.1850617155432701,258
Pattern5,Dendritic cells,stim,0.20453324478129586,0.17632944881916046,271
Pattern5,Megakaryocytes,ctrl,0.057011707727497196,0.02390407584607601,63
Pattern5,Megakaryocytes,stim,0.05084217013000338,0.02179432287812233,69
Pattern6,CD4 T cells,ctrl,0.005024976794056609,0.0001354529886157252,5560
Pattern6,CD4 T cells,stim,0.0052840368977767616,9.606157618691213e-05,5678
Pattern6,CD14+ Monocytes,ctrl,0.09815296538845003,0.07254193350672722,2932
Pattern6,CD14+ Monocytes,stim,0.1066647979463231,0.09567348659038544,2765
Pattern6,B cells,ctrl,0.18908220303165627,0.19726280122995377,1316
Pattern6,B cells,stim,0.17342275343796112,0.17623893916606903,1335
Pattern6,NK cells,ctrl,0.00971501617365551,0.0010026032105088234,855
Pattern6,NK cells,stim,0.008159815340428011,0.00035719614243134856,861
Pattern6,CD8 T cells,ctrl,0.017504342956290508,0.003749709576368332,811
Pattern6,CD8 T cells,stim,0.015653781076921478,0.001385507348459214,810
Pattern6,FCGR3A+ Monocytes,ctrl,0.11923590756237001,0.12361955642700195,520
Pattern6,FCGR3A+ Monocytes,stim,0.12115629702375025,0.12316214293241501,569
Pattern6,Dendritic cells,ctrl,0.5016084065617517,0.47867658734321594,258
Pattern6,Dendritic cells,stim,0.529759944172583,0.5284726023674011,271
Pattern6,Megakaryocytes,ctrl,0.008441260946920154,0.0003881962038576603,63
Pattern6,Megakaryocytes,stim,0.00856046786166321,0.00034974361187778413,69
Pattern7,CD4 T cells,ctrl,0.0004137145443043029,4.197425369056873e-05,5560
Pattern7,CD4 T cells,stim,0.004700824688176679,8.694185453350656e-05,5678
Pattern7,CD14+ Monocytes,ctrl,0.008068031800628104,3.3508282285765745e-05,2932
Pattern7,CD14+ Monocytes,stim,0.4812501714932,0.4937363862991333,2765
Pattern7,B cells,ctrl,0.000146312749700956,4.412586349644698e-06,1316
Pattern7,B cells,stim,0.007372324746452563,0.00012029986828565598,1335
Pattern7,NK cells,ctrl,0.000698874591577808,6.274334737099707e-05,855
Pattern7,NK cells,stim,0.006117516305862424,0.00016859940660651773,861
Pattern7,CD8 T cells,ctrl,0.00029124521334066207,4.025796442874707e-05,811
Pattern7,CD8 T cells,stim,0.00225297679083445,2.8231013857293874e-05,810
Pattern7,FCGR3A+ Monocytes,ctrl,0.01122400575397255,0.004013963742181659,520
Pattern7,FCGR3A+ Monocytes,stim,0.32375462484171186,0.2841958999633789,569
Pattern7,Dendritic cells,ctrl,0.004059118175282417,1.5309732134483056e-05,258
Pattern7,Dendritic cells,stim,0.27998442321102535,0.30097895860671997,271
Pattern7,Megakaryocytes,ctrl,0.00025888246503719917,3.549697794369422e-05,63
Pattern7,Megakaryocytes,stim,0.008375192806535937,0.00043317925883457065,69
