K,n_iter,n_ok,ifn_corr_mean,ifn_corr_std,jaccard_mean,jaccard_min
7,2000,5,0.740983940577507,0.006943662647729259,0.9538461538461538,0.9230769230769231
7,10000,5,0.7478649951328242,0.002300479593645325,0.9538461538461538,0.9230769230769231
7,20000,5,0.7505584914608849,0.0051880682306103924,0.9460030165912519,0.9230769230769231
9,2000,5,0.7101954732492928,0.0241017368956704,0.6819185645272602,0.4492753623188406
9,10000,5,0.7355983456285309,0.001710845416323932,0.9764705882352942,0.9607843137254902
9,20000,5,0.745505729205049,0.008271764336087131,0.9242165242165242,0.8518518518518519
11,2000,5,0.732559859182072,0.02158286085391889,0.8835164835164836,0.7857142857142857
11,10000,5,0.7029409584330262,0.09961268986441604,0.7991910866910867,0.5625
11,20000,5,0.7371418846272366,0.0038937515613699813,0.9314892284925582,0.8867924528301887
13,2000,5,0.7268337763976898,0.021110637871024903,0.7694713177902953,0.639344262295082
13,10000,5,0.7137911227500918,0.021231411535125328,0.8190981432360743,0.7241379310344828
