"pattern","gene","rank","cogaps_weight"
"Pattern1","TIMP1",1,6.07294321060181
"Pattern1","FTH1",2,4.75942182540894
"Pattern1","SOD2",3,4.55451107025146
"Pattern1","MS4A7",4,4.27431583404541
"Pattern1","S100A11",5,4.27131795883179
"Pattern1","TYROBP",6,4.18807077407837
"Pattern1","FCGR3A",7,4.17565202713013
"Pattern1","FCER1G",8,4.0419397354126
"Pattern1","ACTB",9,3.97938871383667
"Pattern1","SAT1",10,3.77543187141418
"Pattern1","PSAP",11,2.99524974822998
"Pattern1","CXCL16",12,2.97000432014465
"Pattern1","FTL",13,2.89904189109802
"Pattern1","PFN1",14,2.84216213226318
"Pattern1","CTSS",15,2.69518947601318
"Pattern2","ISG15",1,9.90800189971924
"Pattern2","ISG20",2,8.47236824035645
"Pattern2","IFI6",3,6.68820381164551
"Pattern2","IFIT3",4,4.98956537246704
"Pattern2","LY6E",5,4.59016847610474
"Pattern2","IFIT1",6,4.06650304794312
"Pattern2","MX1",7,3.91370177268982
"Pattern2","FTH1",8,2.22506093978882
"Pattern2","IFIT2",9,1.6207914352417
"Pattern2","IRF7",10,1.55212366580963
"Pattern2","SAT1",11,1.54081428050995
"Pattern2","TNFSF10",12,1.41975116729736
"Pattern2","OAS1",13,1.360102891922
"Pattern2","PLSCR1",14,1.19007170200348
"Pattern2","BST2",15,1.08866393566132
"Pattern3","FTH1",1,5.68247318267822
"Pattern3","FTL",2,5.33935737609863
"Pattern3","ANXA1",3,5.20544338226318
"Pattern3","SH3BGRL3",4,4.00562286376953
"Pattern3","GAPDH",5,1.55393505096436
"Pattern3","S100A11",6,0.529575943946838
"Pattern3","S100A6",7,0.438081920146942
"Pattern3","VIM",8,0.393572688102722
"Pattern3","S100A10",9,0.358074724674225
"Pattern3","EMP3",10,0.313252806663513
"Pattern3","RGCC",11,0.263684064149857
"Pattern3","CLIC1",12,0.211611226201057
"Pattern3","CCL5",13,0.208891123533249
"Pattern3","SAT1",14,0.190539240837097
"Pattern3","ALOX5AP",15,0.190205648541451
"Pattern4","FTH1",1,6.95365619659424
"Pattern4","TIMP1",2,6.84803009033203
"Pattern4","FTL",3,6.14724063873291
"Pattern4","CD63",4,6.0420560836792
"Pattern4","S100A10",5,5.97561359405518
"Pattern4","ACTB",6,5.85676717758179
"Pattern4","S100A11",7,5.54744577407837
"Pattern4","PFN1",8,5.35094165802002
"Pattern4","C15orf48",9,5.34280252456665
"Pattern4","VIM",10,5.31218767166138
"Pattern4","LGALS1",11,5.23402452468872
"Pattern4","S100A6",12,5.20331430435181
"Pattern4","TYROBP",13,5.18531322479248
"Pattern4","FCER1G",14,5.04347705841064
"Pattern4","GAPDH",15,4.96210813522339
"Pattern5","FTH1",1,9.55227184295654
"Pattern5","ACTB",2,7.52307558059692
"Pattern5","PFN1",3,5.88509893417358
"Pattern5","CCR7",4,2.10904932022095
"Pattern5","VIM",5,1.92166268825531
"Pattern5","HSPA8",6,1.72707188129425
"Pattern5","LTB",7,1.42058217525482
"Pattern5","EMP3",8,1.31838953495026
"Pattern5","FTL",9,1.19442474842072
"Pattern5","ACTG1",10,0.894158959388733
"Pattern5","SELL",11,0.887323558330536
"Pattern5","HSP90AB1",12,0.883601546287537
"Pattern5","RGCC",13,0.869094133377075
"Pattern5","HSP90AA1",14,0.837141454219818
"Pattern5","CREM",15,0.809237122535706
"Pattern6","CD74",1,13.9291925430298
"Pattern6","HLA-DRA",2,11.7218132019043
"Pattern6","HLA-DRB1",3,10.0267648696899
"Pattern6","HLA-DPA1",4,8.5539722442627
"Pattern6","HLA-DPB1",5,8.35087203979492
"Pattern6","FTL",6,7.1249098777771
"Pattern6","FTH1",7,3.34033370018005
"Pattern6","HLA-DQB1",8,2.68326830863953
"Pattern6","ACTB",9,2.42803120613098
"Pattern6","HLA-DQA1",10,2.13680601119995
"Pattern6","HSP90AB1",11,1.60272872447968
"Pattern6","HLA-DMA",12,1.55609965324402
"Pattern6","HSP90AA1",13,1.53352093696594
"Pattern6","ACTG1",14,1.31299877166748
"Pattern6","HERPUD1",15,1.28312802314758
"Pattern7","CXCL10",1,8.17858695983887
"Pattern7","ISG15",2,7.89776849746704
"Pattern7","APOBEC3A",3,7.34213018417358
"Pattern7","IFITM3",4,6.81896066665649
"Pattern7","RSAD2",5,5.69578123092651
"Pattern7","TNFSF10",6,5.41906595230103
"Pattern7","SAT1",7,5.01239681243896
"Pattern7","ISG20",8,4.72870779037476
"Pattern7","SOD2",9,4.72824573516846
"Pattern7","IFIT3",10,4.63441467285156
"Pattern7","TYMP",11,4.61625003814697
"Pattern7","LY6E",12,4.51403284072876
"Pattern7","IFIT1",13,4.42971563339233
"Pattern7","IDO1",14,4.3353419303894
"Pattern7","C15orf48",15,4.22946977615356
